English	Japanese	Memo
archive	保管する,書庫	アーカイブ
overwhelm	圧倒する	オーバーウェルム
scrutinize	綿密に調べる	スクールティナイズ
anticipate	予想する
correspondence	手紙	コレスポンデンス
dismiss	解雇
refund	払い戻し	re(再び)+fund(金)=再び金が戻ってくる. cf.reimburse(払い戻し= in + purse)
cosy	居心地の良い
generous	気前のいい
devastate	荒廃させる	デバスティト(出刃捨て). The area is devastated
grumble	ぶつぶつ不平を言う	To keep complaining in an unhappy way
compile	編集する,集める	cf コンパイル言語(集めてアセンブラに編集する)
janitor	(学校などの)管理人、用務員
outcome	結果	out(出る)+come(来る)=出て来た結果
precise	正確な,精密な	プリサイス pre(前もって)+cise(切る)=細部まで厳密
urge	強く促す,勧める,急き立てる	アジフライを勧める. cf urgent
admire	感心する,賞賛する	ad(向かって =to. cf.adjust)+mire(驚く cf.miracle)=驚いて目を見はる=>感心する
dominate	を支配する	cf domain(ドメイン,領地=支配する場所)
considerable	かなり	consider(考える)+able(できる)=考えられる範囲で相当の=>かんりの(cf. considerate=
思いやりのある)
obstacle	障害	ob(反対 against)+sta(立つ stand)+cle(名詞化)=反対側に立つ=>障害
criticize	批判する	cri(悪い crime)+cize(動詞化)=悪い言葉を浴びせる=>批判する
attest	証明する	ad(向かって =to)+test(証言する) cf contest=con(一緒に)+test(証言する)=共に証言する=>競争する
discard	捨てる
reputation	評判
itinerary	旅行計画	アイテナリー
relevant	関連のある	レラヴァント cf relay(リレー)
intermittent	断続的な	インタァミィトン
